표제어(지역어)*,성조 표기,품사,대응 표준어*,표준어 부가 의미,의미(뜻풀이),항목번호,공개 여부,출처*,시리얼번호,조사지역,조사연도,제보자 성별,제보자 나이,파일 공개여부*,지역별 정보 공개 여부*,음성 파일 메모,기타정보
ㅇㅇ애비,,,사위(호칭),,,22321-1,N,지역어 조사,GG081822321-1-A-2,경기도 -> 연천군,2018,여,79,N,N,(+아이있을때),
구릿쉬미,,,구레나룻을,,,21817-0-1,N,지역어 조사,GB151821817-0-1-C-2,경상북도 -> 군위군,2018,남,86,N,N,(=이중모음),
,,,옥수수,,,20413,N,지역어 조사,GW030820413-A-2,강원도 -> 평창군,2008,남,79,N,N,,기저형 설정 불가
주칫돌,,,주춧돌을,,,21023-0-1,N,지역어 조사,GW030821023-0-1-C-2,강원도 -> 평창군,2008,남,79,N,N,,오류: 목적격 조사 결합형을 조사해야 하나 서술격 조사 결합형을 조사함
,,,곰팡이,,,20421,N,지역어 조사,GW030820421-A-1,강원도 -> 평창군,2008,남,79,N,N,,"부제보자, 기저형 설정 불가"
이엉,,,이엉에서,,,21012-0-1,N,지역어 조사,GW030821012-0-1-C-2,강원도 -> 평창군,2008,남,79,N,N,,오류: 처격 조사 결합형을 조사해야 하나 주격 조사 결합형을 조사함
지붕ㅋ,,,지붕에,,,21001-0-1,N,지역어 조사,GW030821001-0-1-C-2,강원도 -> 평창군,2008,남,79,N,N,,오류:  처격 조사 결합형을 조사해야 하나 주격 조사 결합형을 조사함
,,,버무리다,,,20712,N,지역어 조사,GW030820712-A-3,강원도 -> 평창군,2008,남,79,N,N,,기저형 설정 불가
,,,버무리다,,,20712,N,지역어 조사,GW030820712-A-2,강원도 -> 평창군,2008,남,79,N,N,,"부제보자, 기저형 설정 불가"
마룽  ,,,마루에,,,21020-0-1,N,지역어 조사,GW030821020-0-1-C-2,강원도 -> 평창군,2008,남,79,N,N,,오류: 목적격 조사 결합형을 조사해야 하나 주격 조사 결합형을 조사함
