표제어(지역어)*,성조 표기,품사,대응 표준어*,표준어 부가 의미,의미(뜻풀이),항목번호,공개 여부,출처*,시리얼번호,조사지역,조사연도,제보자 성별,제보자 나이,파일 공개여부*,지역별 정보 공개 여부*,음성 파일 메모,기타정보
외할매,,,외할머니,,,외할머니,Y,지역어 조사,JN211922365,전라남도 -> 화순군,2019,남,80,Y,Y,(='에'와 '애'가 비변별),Y
쟁인,,,장인,,,장인,Y,지역어 조사,JN211922366,전라남도 -> 화순군,2019,남,80,Y,Y,(='에'와 '애'가 비변별),Y
쟁인어르신,,,장인(호칭),,,장인(호칭),Y,지역어 조사,JN211922366-1,전라남도 -> 화순군,2019,남,80,Y,Y,(='에'와 '애'가 비변별),Y
홀어매,,,홀어미,,,홀어미,Y,지역어 조사,JN211922371,전라남도 -> 화순군,2019,남,80,Y,Y,(='에'와 '애'가 비변별),Y
새어매,,,계모,,,계모,Y,지역어 조사,JN211922372-A-1,전라남도 -> 화순군,2019,남,80,Y,Y,(='에'와 '애'가 비변별),Y
이붓어매,,,계모,,,계모,Y,지역어 조사,JN211922372-A-2,전라남도 -> 화순군,2019,남,80,Y,Y,(='에'와 '애'가 비변별),Y
oo(택호)댁(=땍),,,(이웃 어른)아주머니,,,아주머니,Y,지역어 조사,JN211922374,전라남도 -> 화순군,2019,남,80,Y,Y,(='에'와 '애'가 비변별),Y
두름,,,두름(산나물),,,,Y,지역어 조사,CB091621228-5,충청북도 -> 음성군,2016,남,75,Y,Y,(+금방 삶아서 모아 놓은 것은 주기라고 함),
짠돌이,,,구두쇠,,,,Y,지역어 조사,CB091621220-A-3,충청북도 -> 음성군,2016,남,75,Y,Y,"노랭이(+구, 많이 씀), 구두새, 짠돌이(+신)",
노랭이,,,구두쇠,,,,Y,지역어 조사,CB091621220-A-2,충청북도 -> 음성군,2016,남,75,Y,Y,"노랭이(+구, 많이 씀), 구두새, 짠돌이(+신)",
