번호,지역어,지역,표준어,상세,상세_지역,시군,조사시기,제보자,음성,발화,발음/부가정보,비고,항목번호,시작_ms,끝_ms,시작_초,끝_초
1,힌자위,함경북도,흰자위,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,힌자위라구,,,20103,966469,967298,966.469,967.298
2,힌자위,함경북도,흰자위,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,힌자위,,,20103,968060,968993,968.06,968.993
3,힌자위,함경북도,흰자위,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,힌자위,,,20103,974480,975380,974.48,975.38
4,기채,함경북도,귀지,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,기채,,,20108,1003916,1004448,1003.916,1004.448
5,귀채,함경북도,귀지,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,귀채,,,20108,1005362,1005934,1005.362,1005.934
6,기채,함경북도,귀지,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,기채라고,,,20108,1013650,1014202,1013.65,1014.202
7,기채,함경북도,귀지,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,기채 파라,,,20108,1015020,1015772,1015.02,1015.772
8,기채,함경북도,귀지,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,기채를 판다,,,20108,1016430,1017514,1016.43,1017.514
9,기우비개,함경북도,귀이개,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,기우비개,,,20109,1029332,1030186,1029.332,1030.186
10,기우비개,함경북도,귀이개,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,기우비갭니다,,,20109,1031112,1032072,1031.112,1032.072
11,구렛나룻,함경북도,구레나룻,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,구렛나룻이라구 해요,,,20113,1093413,1095580,1093.413,1095.58
12,구렛나룻,함경북도,구레나룻,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,구렛나룻,,,20113,1108730,1110130,1108.73,1110.13
13,구렛나룻,함경북도,구레나룻,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,구렛나룻이 시꺼먼 남자가,,,20113,1113270,1116780,1113.27,1116.78
14,히파람,함경북도,휘파람,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,히파람이죠,,,20118,1136030,1137120,1136.03,1137.12
15,휘파람,함경북도,휘파람,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,휘파람,,,20118,1137720,1138500,1137.72,1138.5
16,겨드랑이,함경북도,겨드랑이,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,겨드랑이,문화어,,20124,1169930,1171050,1169.93,1171.05
17,자대미,함경북도,겨드랑이,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,자대미,,,20124,1172275,1173155,1172.275,1173.155
18,자대미,함경북도,겨드랑이,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,자대미라구두 부루구,,,20124,1175990,1177730,1175.99,1177.73
19,자대미,함경북도,겨드랑이,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,자대미,,,20124,1178445,1179585,1178.445,1179.585
20,자대미,함경북도,겨드랑이,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,자대미는,일반 사람들이 쓰는 말,,20124,1191400,1192350,1191.4,1192.35
21,무릎,함경북도,무릎-이,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,무릎이,,,20134,1381350,1382110,1381.35,1382.11
22,무룹,함경북도,무릎-을,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,무룹울,,,20134,1431190,1432170,1431.19,1432.17
23,무룹,함경북도,무릎-이,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,무룹이 데지마는,,,20134,1436310,1437580,1436.31,1437.58
24,무룹,함경북도,무릎,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,무룹,,,20134,1458090,1458630,1458.09,1458.63
25,무룹,함경북도,무릎,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,무룹두 쓰구,,,20134,1552520,1553320,1552.52,1553.32
26,무뤂,함경북도,무릎-에,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,무뤂에,,,20134,1587500,1588140,1587.5,1588.14
27,패끼,함경북도,딸꾹질,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,패끼라고 하지요,,,20209,1614430,1615620,1614.43,1615.62
28,패끼,함경북도,딸꾹질,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,패끼,,,20209,1620710,1621080,1620.71,1621.08
29,패끼,함경북도,딸꾹질,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,패끼 난다,,,20209,1621110,1622160,1621.11,1622.16
30,패끼,함경북도,딸꾹질,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,패끼르 하는 사람,,,20209,1624540,1625560,1624.54,1625.56
31,패끼,함경북도,딸꾹질,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,패끼가 멈추는 거예요,,,20209,1634360,1635680,1634.36,1635.68
32,패끼,함경북도,딸꾹질,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,패끼 끊어젰니,,,20209,1656830,1657940,1656.83,1657.94
33,자부럼,함경북도,졸음,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,자부럼이 온다,,,20215,1678090,1679140,1678.09,1679.14
34,자부럼,함경북도,졸음,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,자부럼,,,20215,1679720,1680590,1679.72,1680.59
35,자부럼,함경북도,졸음,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,자부럼이 온다,,,20215,1681720,1683090,1681.72,1683.09
36,기지개,함경북도,기지개,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,기지개,,,20217,1728100,1728980,1728.1,1728.98
37,기지개를 켜다,함경북도,기지개를 켜다,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,기지개를 켜다,,,20218,1735980,1737510,1735.98,1737.51
38,셋바눌,함경북도,혓바늘,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,셋바눌,,"조사 후에 '쓰리', '쓰리가 돋았다'라고 한다고 정정함. 강아지 혀 밑에 나는 것은 '혓바늘'이라고 하고, 사람 혀에 나는 것은 '쓰리'라고 한다고 함.",20220,1763280,1764060,1763.28,1764.06
39,셋바늘,함경북도,혓바늘,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,셋바늘 셋바늘,,,20220,1770180,1771840,1770.18,1771.84
40,셋바늘,함경북도,혓바늘,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,셋바늘 돋았다,,,20220,1775590,1776700,1775.59,1776.7
41,셋바늘,함경북도,혓바늘,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,셋바늘이 돋아서,,,20220,1787690,1789130,1787.69,1789.13
42,미꾸라지,함경북도,미꾸라지,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,미꾸라지라고,,,20306,1807267,1808387,1807.267,1808.387
43,미꾸라지,함경북도,미꾸라지,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,이 미꾸라지를 키우라고 하거든요,,,20306,1840840,1842840,1840.84,1842.84
44,미꾸라지,함경북도,미꾸라지,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,미꾸라지는,,,20306,1845780,1847020,1845.78,1847.02
45,쉬쓸다,함경북도,쉬슬다,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,쉬 쓸죠 쉬,"'쉬'가 이중모음 wi 가 아닌 전설원순단모음에 가깝게 들리나, 원순성은 약함.",,20318,1919773,1921493,1919.773,1921.493
46,쉬쓸다,함경북도,쉬슬다,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,쉬를 다 쓸고,,,20318,1952653,1954000,1952.653,1954.0
47,벌기,함경북도,벌레,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,벌기고,,,20310,2034587,2035773,2034.587,2035.773
48,벌기,함경북도,벌레,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,아우 저 집에는 벌기 많다,,,20310,2038120,2039627,2038.12,2039.627
49,벌기,함경북도,벌레,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,벌기,'ㅓ'가 'ㅗ'에 가깝게 발음되어 '벌기'의 '벌'이 '볼'처럼 들림.,,20310,2067773,2068719,2067.773,2068.719
50,모기,함경북도,모기,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,모기,'ㅗ'의 개구도가 큼. '모기'가 '머기'에 가깝게 들림.,,20314,2081053,2081639,2081.053,2081.639
51,모기,함경북도,모기,상세,함경북도,청진시,2025년,"여성, 1968년생",▶,모기두 있구,,,20314,2085273,2086713,2085.273,2086.713
